연도,구분,죄종,발생건수
2017,중구,살인,5
2017,중구,강도,20
2017,중구,"강간,강제추행",144
2017,중구,절도,1145
2017,중구,폭력,2051
2017,동구,살인,7
2017,동구,강도,4
2017,동구,"강간,강제추행",121
2017,동구,절도,1288
2017,동구,폭행,1643
2017,서구,살인,3
2017,서구,강도,11
2017,서구,"강간,강제추행",249
2017,서구,절도,1939
2017,서구,폭행,2800
2017,대덕구,살인,2
2017,대덕구,강도,5
2017,대덕구,"강간,강제추행",66
2017,대덕구,절도,769
2017,대덕구,폭행,1032
2017,유성구,살인,5
2017,유성구,강도,2
2017,유성구,"강간,강제추행",119
2017,유성구,절도,1073
2017,유성구,폭행,1273
